Title 	 Authors 	 Date of Publication 	 Digital Object Identifier
Conjugative plasmid protein TrwB, an integral membrane type IV secretion system coupling protein. Detailed structural features and mapping of the active site cleft.	Gomis-Ruth FX Moncalian G de la Cruz F Coll M	2002 Mar 1	10.1074/jbc.M110462200 [doi] M110462200 [pii]
Transfer region of a Bacteroides conjugative transposon contains regulatory as well as structural genes.	Bonheyo GT Hund BD Shoemaker NB Salyers AA	2001 Nov	10.1006/plas.2001.1545 [doi] S0147-619X(01)91545-8 [pii]
Conjugation between bacterial and mammalian cells.	Waters VL	2001 Dec	10.1038/ng779 [doi] ng779 [pii]
Incidence, distribution, and spread of tetracycline resistance determinants and integron-associated antibiotic resistance genes among motile aeromonads from a fish farming environment.	Schmidt AS Bruun MS Dalsgaard I Larsen JL	2001 Dec	10.1128/AEM.67.12.5675-5682.2001 [doi]
Cellular location and temperature-dependent assembly of IncHI1 plasmid R27-encoded TrhC-associated conjugative transfer protein complexes.	Gilmour MW Lawley TD Rooker MM Newnham PJ Taylor DE	2001 Nov	2682 [pii]
Microsomal glutathione S-transferase A1-1 with glutathione peroxidase activity from sheep liver: molecular cloning, expression and characterization.	Prabhu KS Reddy PV Gumpricht E Hildenbrandt GR Scholz RW Sordillo LM Reddy CC	2001 Dec 1	?
Identification and expression of cephamycinase bla(CMY) genes in Escherichia coli and Salmonella isolates from food animals and ground meat.	Zhao S White DG McDermott PF Friedman S English L Ayers S Meng J Maurer JJ Holland R Walker RD	2001 Dec	10.1128/AAC.45.12.3647-3650.2001 [doi]
TEM-89 beta-lactamase produced by a Proteus mirabilis clinical isolate: new complex mutant (CMT 3) with mutations in both TEM-59 (IRT-17) and TEM-3.	Neuwirth C Madec S Siebor E Pechinot A Duez JM Pruneaux M Fouchereau-Peron M Kazmierczak A Labia R	2001 Dec	10.1128/AAC.45.12.3591-3594.2001 [doi]
Analysis of the inhibition of mammalian thioredoxin, thioredoxin reductase, and glutaredoxin by cis-diamminedichloroplatinum (II) and its major metabolite, the glutathione-platinum complex.	Arner ES Nakamura H Sasada T Yodoi J Holmgren A Spyrou G	2001 Nov 15	S0891584901006980 [pii]
The integrative element pSAM2 from Streptomyces: kinetics and mode of conjugal transfer.	Possoz C Ribard C Gagnat J Pernodet JL Guerineau M	2001 Oct	2618 [pii]
Mammalian class Sigma glutathione S-transferases: catalytic properties and tissue-specific expression of human and rat GSH-dependent prostaglandin D2 synthases.	Jowsey IR Thomson AM Flanagan JU Murdock PR Moore GB Meyer DJ Murphy GJ Smith SA Hayes JD	2001 Nov 1	?
Development of three different gene cloning systems for genetic investigation of the new species Amycolatopsis japonicum MG417-CF17, the ethylenediaminedisuccinic acid producer.	Stegmann E Pelzer S Wilken K Wohlleben W	2001 Dec 28	S0168-1656(01)00360-1 [pii]
Xis protein of the conjugative transposon Tn916 plays dual opposing roles in transposon excision.	Hinerfeld D Churchward G	2001 Sep	2626 [pii]
Screening for trbB- and traG-like sequences by PCR for the detection of conjugative plasmids in bacterial soil isolates.	Disque-Kochem C Battermann A Stratz M Dreiseikelmann B	2001	S0944-5013(04)70024-5 [pii] 10.1078/0944-5013-00098 [doi]
[Diagnostic and epidemiological significance of F-donor activity of Enterobacteria strains].	Lipovskaia VV Savinova EM D'iachenko AG	2001 Mar-Apr	?
Analysis of a Bacteroides conjugative transposon using a novel "targeted capture" model system.	Smith CJ Parker AC Bacic M	2001 Jul	10.1006/plas.2001.1528 [doi] S0147-619X(01)91528-8 [pii]
[Formation of TRA-dependent surface structures in Agrobacterium tumefaciens and their absence in R1 (deltatraR) mutant].	Tugarova AV Plotko NA Chumakov MI	2001	?
CMY-2-producing Salmonella enterica, Klebsiella pneumoniae, Klebsiella oxytoca, Proteus mirabilis and Escherichia coli strains isolated in Spain (October 1999-December 2000).	Navarro F Perez-Trallero E Marimon JM Aliaga R Gomariz M Mirelis B	2001 Sep	?
Investigation of enhancement of two processes, sedimentation and conjugation, when bacteria are concentrated in ultrasonic standing waves.	Cousins CM Melin JR Venables WA Coakley WT	2000	?
SHV-16, a beta-lactamase with a pentapeptide duplication in the omega loop.	Arpin C Labia R Andre C Frigo C El Harrif Z Quentin C	2001 Sep	?
Functional and structural roles of the glutathione-binding residues in maize (Zea mays) glutathione S-transferase I.	Labrou NE Mello LV Clonis YD	2001 Aug 15	?
A novel system for heterologous expression of flavocytochrome c in phototrophic bacteria using the Allochromatium vinosum rbcA promoter.	De Smet L Kostanjevecki V Guisez Y Van Beeumen J	2001 Jul	?
Natural conjugative plasmids induce bacterial biofilm development.	Ghigo JM	2001 Jul 26	10.1038/35086581 [doi] 35086581 [pii]
Horizontal transfer of a multi-drug resistance plasmid between coliform bacteria of human and bovine origin in a farm environment.	Oppegaard H Steinum TM Wasteson Y	2001 Aug	10.1128/AEM.67.8.3732-3734.2001 [doi]
Stationary phase deletions in Escherichia coli. II. Mutations which stimulate stationary phase deletions in plasmid pMC874.	Balbinder E	2001 Aug 8	S0027510701001397 [pii]
Structure of TrwB, a gatekeeper in bacterial conjugation.	Gomis-Ruth FX Coll M	2001 Sep	S1357-2725(01)00060-7 [pii]
Participation of recombination proteins in rescue of arrested replication forks in UV-irradiated Escherichia coli need not involve recombination.	Courcelle J Hanawalt PC	2001 Jul 17	10.1073/pnas.121008898 [doi] 98/15/8196 [pii]
A variable genetic island specific for Neisseria gonorrhoeae is involved in providing DNA for natural transformation and is found more often in disseminated infection isolates.	Dillard JP Seifert HS	2001 Jul	mmi2520 [pii]
[Isolation and functional-structural characteristics of Bacillus polymyxa RP4::Mucts62 transcipients].	Il'iashenko BN	2001	?
Self-transmissible multidrug resistance plasmids in Escherichia coli of the normal intestinal flora of healthy swine.	Sunde M Sorum H	2001 Summer	10.1089/10766290152045075 [doi]
DNA transport in bacteria.	Errington J Bath J Wu LJ	2001 Jul	10.1038/35080005 [doi] 35080005 [pii]
Expression of the p20 gene from Bacillus thuringiensis H-14 increases Cry11A toxin production and enhances mosquito-larvicidal activity in recombinant gram-negative bacteria.	Xu Y Nagai M Bagdasarian M Smith TW Walker ED	2001 Jul	10.1128/AEM.67.7.3010-3015.2001 [doi]
A small protein-protein interaction domain common to KlcB and global regulators KorA and TrbA of promiscuous IncP plasmids.	Bhattacharyya A Figurski DH	2001 Jun 29	10.1006/jmbi.2001.4729 [doi] S0022-2836(01)94729-1 [pii]
ISZm1068: an IS5-like insertion element from Zymomonas mobilis.	Galeros M Pappas KM Beletsiotis E Typas MA	2001 May	?
Characterization and sequence analysis of the replicator region of the novel plasmid pALC1 from Paracoccus alcaliphilus.	Bartosik D Witkowska M Baj J Wlodarczyk M	2001 May	10.1006/plas.2000.1505 [doi] S0147-619X(00)91505-1 [pii]
Gene transfer systems and their applications in Archaea.	Luo Y Wasserfallen A	2001 Apr	S0723-2020(04)70002-8 [pii] 10.1078/0723-2020-00005 [doi]
Biofilm-induced gene expression and gene transfer.	Lamont RJ Bryers JD	2001	S0076-6879(01)36581-3 [pii]
The Agrobacterium tumefaciens rnd homolog is required for TraR-mediated quorum-dependent activation of Ti plasmid tra gene expression.	Luo ZQ Farrand SK	2001 Jul	10.1128/JB.183.13.3919-3930.2001 [doi]
Characterization of two autoreplicative regions of the IncHI2 plasmid R478: RepHI2A and RepHI1A((R478)).	Page DT Whelan KF Colleran E	2001 Jun	10.1099/00221287-147-6-1591 [doi]
Identification of a new subfamily of sulphotransferases: cloning and characterization of canine SULT1D1.	Tsoi C Falany CN Morgenstern R Swedmark S	2001 Jun 15	?
Conjugation of an antibody Fv fragment to a virus coat protein: cell-specific targeting of recombinant polyoma-virus-like particles.	Stubenrauch K Gleiter S Brinkmann U Rudolph R Lilie H	2001 Jun 15	?
Amplification of mutator cells in a population as a result of horizontal transfer.	Funchain P Yeung A Stewart J Clendenin WM Miller JH	2001 Jun	10.1128/JB.183.12.3737-3741.2001 [doi]
Rat glutathione S-transferase M4-4: an isoenzyme with unique structural features including a redox-reactive cysteine-115 residue that forms mixed disulphides with glutathione.	Cheng H Tchaikovskaya T Tu YS Chapman J Qian B Ching WM Tien M Rowe JD Patskovsky YV Listowsky I Tu CP	2001 Jun 1	?
Transfer of genetic information from agrobacteria to bacterial and plant cells: membrane and supramembrane structures involved in transfer.	Chumakov MI	2000	?
Catalytic function of Drosophila melanogaster glutathione S-transferase DmGSTS1-1 (GST-2) in conjugation of lipid peroxidation end products.	Singh SP Coronella JA Benes H Cochrane BJ Zimniak P	2001 May	ejb2179 [pii]
[Effect of the gene for bacterial hemoglobin vhb on the effectiveness of the process of Escherichia coli-Streptomyces interspecies conjugation and production of antibiotics in streptomycetes].	Tabakov VIu Emel'ianova LK Antonova SV Voeikova TA	2001 Mar	?
Analysis of opioid binding to UDP-glucuronosyltransferase 2B7 fusion proteins using nuclear magnetic resonance spectroscopy.	Coffman BL Kearney WR Green MD Lowery RG Tephly TR	2001 Jun	?
Persistence of sulphonamide resistance in Escherichia coli in the UK despite national prescribing restriction.	Enne VI Livermore DM Stephens P Hall LM	2001 Apr 28	S0140-6736(00)04519-0 [pii] 10.1016/S0140-6736(00)04519-0 [doi]
The prevalence of trimethoprim-resistance-conferring dihydrofolate reductase genes in urinary isolates of Escherichia coli in Korea.	Lee JC Oh JY Cho JW Park JC Kim JM Seol SY Cho DT	2001 May	?
Functional and mutational analysis of p19, a DNA transfer protein with muramidase activity.	Bayer M Iberer R Bischof K Rassi E Stabentheiner E Zellnig G Koraimann G	2001 May	10.1128/JB.183.10.3176-3183.2001 [doi]
Enteropathogenic Escherichia coli strain RDEC-1 produces a novel electrogenic factor active on rabbit ileum in vitro.	Raimondi F Kaper JB Boedeker EC Wolf MK Guandalini S Fasano A	2001 Feb	?
Variation in clonality and antibiotic-resistance genes among multiresistant Salmonella enterica serotype typhimurium phage-type U302 (MR U302) from humans, animals, and foods.	Walker RA Lindsay E Woodward MJ Ward LR Threlfall EJ	2001 Spring	10.1089/107662901750152701 [doi]
Recombinant derivatives of clostridial neurotoxins as delivery vehicles for proteins and small organic molecules.	Zdanovskaia MV Los G Zdanovsky AG	2000 Nov	?
A genetically engineered fusion protein with horseradish peroxidase as a marker enzyme for use in competitive immunoassays.	Grigorenko V Andreeva I Borchers T Spener F Egorov A	2001 Mar 15	?
Plasmid transfer and susceptibility to antibiotics in the halophilic phototrophs Rhodovibrio salinarum and Rhodothalassium salexigens.	Borghese R Zagnoli A Zannoni D	2001 Apr 1	S0378-1097(01)00097-0 [pii]
Identification and characterization of integron-mediated antibiotic resistance among Shiga toxin-producing Escherichia coli isolates.	Zhao S White DG Ge B Ayers S Friedman S English L Wagner D Gaines S Meng J	2001 Apr	10.1128/AEM.67.4.1558-1564.2001 [doi]
The form of chromosomal DNA molecules in bacterial cells.	Bendich AJ	2001 Feb	S0300-9084(00)01209-8 [pii]
Phosphoglycerate kinase-triose-phosphate isomerase complex from Thermotoga neapolitana.	Yu JS Noll KM	2001	S0076-6879(01)31048-0 [pii]
Novel carbapenem-hydrolyzing beta-lactamase, KPC-1, from a carbapenem-resistant strain of Klebsiella pneumoniae.	Yigit H Queenan AM Anderson GJ Domenech-Sanchez A Biddle JW Steward CD Alberti S Bush K Tenover FC	2001 Apr	10.1128/AAC.45.4.1151-1161.2001 [doi]
Complete DNA sequence and comparative analysis of the 50-kilobase virulence plasmid of Salmonella enterica serovar Choleraesuis.	Haneda T Okada N Nakazawa N Kawakami T Danbara H	2001 Apr	10.1128/IAI.69.4.2612-2620.2001 [doi]
Development of a genetic system for the transfer of DNA into Flavobacterium heparinum.	Su H Shao Z Tkalec L Blain F Zimmermann J	2001 Mar	10.1099/00221287-147-3-581 [doi]
[Transfer of T-DNA from agrobacteria into plant cells through cell walls and membranes].	Chumakov MI	2001	?
Bacterial conjugation: running rings around DNA.	Egelman EH	2001 Feb 6	S0960-9822(01)00040-9 [pii]
Molecular characterization of Salmonella weltevreden isolated from poultry: evidence of conjugal transfer of plasmid and antibiotic resistance.	Radu S Mutalib SA Rusul G Hassan Z Yeang LK	2001	?
Validity of mechanism of gene transfer in the process called conjugation in bacteria.	Banerjee M Chakrabarti A Acharya DP Roy A Chakrabarty AN Bhattacharyya J Dastidar SG	2000 Feb	?
The bacterial conjugation protein TrwB resembles ring helicases and F1-ATPase.	Gomis-Ruth FX Moncalian G Perez-Luque R Gonzalez A Cabezon E de la Cruz F Coll M	2001 Feb 1	10.1038/35054586 [doi]
Hsp70 (DnaK)--an evolution facilitator?	Chow KC	2000 Nov	S0168-9525(00)02105-3 [pii]
Cooperativity between KorB and TrbA repressors of broad-host-range plasmid RK2.	Zatyka M Bingle L Jones AC Thomas CM	2001 Feb	10.1128/JB.183.3.1022-1031.2001 [doi]
Transfer protein TraY of plasmid R1 stimulates TraI-catalyzed oriT cleavage in vivo.	Karl W Bamberger M Zechner EL	2001 Feb	10.1128/JB.183.3.909-914.2001 [doi]
Comparison of a range of green fluorescent protein-tagging vectors for monitoring a microbial inoculant in soil.	Dandie CE Thomas SM McClure NC	2001 Jan	lam848 [pii]
Human cytomegalovirus with IE-2 (UL122) deleted fails to express early lytic genes.	Marchini A Liu H Zhu H	2001 Feb	10.1128/JVI.75.4.1870-1878.2001 [doi]
Nucleotide sequence and analysis of conjugative plasmid pVT745.	Galli DM Chen J Novak KF Leblanc DJ	2001 Mar	10.1128/JB.183.5.1585-1594.2001 [doi]
Formation of chromosomal tandem arrays of the SXT element and R391, two conjugative chromosomally integrating elements that share an attachment site.	Hochhut B Beaber JW Woodgate R Waldor MK	2001 Feb	10.1128/JB.183.4.1124-1132.2001 [doi]
Mucosal and systemic antibody responses after peroral or intranasal immunization: effects of conjugation to enterotoxin B subunits and/or of co-administration with free toxin as adjuvant.	Rask C Fredriksson M Lindblad M Czerkinsky C Holmgren J	2000 Mar	?
The C-terminal region of an Apg7p/Cvt2p is required for homodimerization and is essential for its E1 activity and E1-E2 complex formation.	Komatsu M Tanida I Ueno T Ohsumi M Ohsumi Y Kominami E	2001 Mar 30	10.1074/jbc.M007737200 [doi] M007737200 [pii]
Occurrence of a new metallo-beta-lactamase IMP-4 carried on a conjugative plasmid in Citrobacter youngae from the People's Republic of China.	Hawkey PM Xiong J Ye H Li H M'Zali FH	2001 Jan 1	S0378-1097(00)00506-1 [pii]
Molecular epidemiology of the integron-located VEB-1 extended-spectrum beta-lactamase in nosocomial enterobacterial isolates in Bangkok, Thailand.	Girlich D Poirel L Leelaporn A Karim A Tribuddharat C Fennewald M Nordmann P	2001 Jan	10.1128/JCM.39.1.175-182.2001 [doi]
Single-stranded DNA intermediates in IS91 rolling-circle transposition.	del Pilar Garcillan-Barcia M Bernales I Mendiola MV de la Cruz F	2001 Jan	mmi2261 [pii]
Cloning and characterization of a periplasmic nuclease of Vibrio vulnificus and its role in preventing uptake of foreign DNA.	Wu SI Lo SK Shao CP Tsai HW Hor LI	2001 Jan	10.1128/AEM.67.1.82-88.2001 [doi]
Valine 10 may act as a driver for product release from the active site of human glutathione transferase P1-1.	Micaloni C Mazzetti AP Nuccetelli M Rossjohn J McKinstry WJ Antonini G Caccuri AM Oakley AJ Federici G Ricci G Parker MW Lo Bello M	2000 Dec 26	bi0007122 [pii]
Rapid gene inactivation in Pseudomonas aeruginosa.	Windgassen M Urban A Jaeger KE	2000 Dec 15	S0378-1097(00)00476-6 [pii]
Construction of plasmid vectors bearing a NotI-expression cassette based on the lac promoter.	Jaenecke S Diaz E	1999 Mar	?
Production of eicosapentaenoic acid by a recombinant marine cyanobacterium, Synechococcus sp.	Yu R Yamada A Watanabe K Yazawa K Takeyama H Matsunaga T Kurane R	2000 Oct	?
Gene transfer to Clostridium cellulolyticum ATCC 35319.	Jennert KC Tardif C Young DI Young M	2000 Dec	10.1099/00221287-146-12-3071 [doi]
Expression of a mineral phosphate solubilizing gene from Erwinia herbicola in two rhizobacterial strains.	Rodriguez H Gonzalez T Selman G	2001 Nov 30	S0168165600003473 [pii]
impA, a gene coding for an inner membrane protein, influences colonial morphology of Actinobacillus actinomycetemcomitans.	Mintz KP Fives-Taylor PM	2000 Dec	?
Application of redD, the transcriptional activator gene of the undecylprodigiosin biosynthetic pathway, as a reporter for transcriptional activity in Streptomyces coelicolor A3(2) and Streptomyces lividans.	van Wezel GP White J Hoogvliet G Bibb MJ	2000 Oct	?
Maturation of IncP pilin precursors resembles the catalytic Dyad-like mechanism of leader peptidases.	Eisenbrandt R Kalkum M Lurz R Lanka E	2000 Dec	?
The large resolvase TndX is required and sufficient for integration and excision of derivatives of the novel conjugative transposon Tn5397.	Wang H Mullany P	2000 Dec	?
DNA-independent transport of plasmid primase protein between bacteria by the I1 conjugation system.	Wilkins BM Thomas AT	2000 Nov	mmi2164 [pii]
Transposition of Tn4451 and Tn4453 involves a circular intermediate that forms a promoter for the large resolvase, TnpX.	Lyras D Rood JI	2000 Nov	mmi2154 [pii]
Recombinant p51 as antigen in an immune complex transfer enzyme immunoassay of immunoglobulin G antibody to human immunodeficiency virus type 1.	Hashinaka K Hashida S Nishikata I Adachi A Oka S Ishikawa E	2000 Nov	?
Exogenous isolation of antibiotic resistance plasmids from piggery manure slurries reveals a high prevalence and diversity of IncQ-like plasmids.	Smalla K Heuer H Gotz A Niemeyer D Krogerrecklenfort E Tietze E	2000 Nov	?
F plasmid conjugative DNA transfer: the TraI helicase activity is essential for DNA strand transfer.	Matson SW Sampson JK Byrd DR	2001 Jan 26	10.1074/jbc.M008728200 [doi] M008728200 [pii]
Ecological antibiotic policy.	Hoiby N	2000 Sep	?
Labile conjugation of a hydrophilic drug to PLA oligomers to modify a drug delivery system: cephradin in a PLAGA matrix.	Ustariz-Peyret C Coudane J Vert M Kaltsatos V Boisramene B	2000 Sep-Oct	10.1080/026520400417667 [doi]
Construction of chromosomal integrants of Bacillus sphaericus 2362 by conjugation with Escherichia coli.	Aquino de Muro M Priest FG	2000 Sep	S0923-2508(00)00224-2 [pii]
Detection and quantification of tetracyclines by whole cell biosensors.	Hansen LH Sorensen SJ	2000 Sep 15	S0378-1097(00)00347-5 [pii]
Anti-PorA antibodies elicited by immunization with peptides conjugated to P64k.	Sardinas G Gonzalez S Garay HE Nazabal C Reyes O Silva R	2000 Oct 14	10.1006/bbrc.2000.3623 [doi] S0006-291X(00)93623-4 [pii]
Antibiotic resistance conferred by conjugative plasmid in Escherichia coli isolated from community ponds of Kathmandu Valley.	Adhikari RP Kalpana KC Shears P Sharma AP	2000 Jun	?
No genetic barriers between Salmonella enterica serovar typhimurium and Escherichia coli in SOS-induced mismatch repair-deficient cells.	Matic I Taddei F Radman M	2000 Oct	?
Interaction between the RP4 coupling protein TraG and the pBHR1 mobilization protein Mob.	Szpirer CY Faelen M Couturier M	2000 Sep	mmi2077 [pii]
8-Acyloxy-1,3-benzoxazine-2,4-diones as siderophore components for antibiotics.	Wittmann S Scherlitz-Hofmann I Mollmann U Ankel-Fuchs D Heinisch L	2000 Aug	?
Ubiquitin-mediated proteolysis of a short-lived regulatory protein depends on its cellular localization.	Lenk U Sommer T	2000 Dec 15	10.1074/jbc.M006949200 [doi] M006949200 [pii]
In vitro activities of parenteral beta-lactam antimicrobials against TEM-10-, TEM-26- and SHV-5-derived extended-spectrum beta-lactamases expressed in an isogenic Escherichia coli host.	Rebuck JA Olsen KM Fey PD Bergman KL Rupp ME	2000 Sep	?
Conjugal transfer of plasmid pMV158: uncoupling of the pMV158 origin of transfer from the mobilization gene mobM, and modulation of pMV158 transfer in Escherichia coli mediated by IncP plasmids.	Farias ME Espinosa M	2000 Sep	10.1099/00221287-146-9-2259 [doi]
Ecological antibiotic policy.	Hoiby N	2000 Aug	?
Distribution of oxytetracycline resistance plasmids between aeromonads in hospital and aquaculture environments: implication of Tn1721 in dissemination of the tetracycline resistance determinant tet A.	Rhodes G Huys G Swings J McGann P Hiney M Smith P Pickup RW	2000 Sep	?
A broad-host-range plasmid for isolating mobile genetic elements in gram-negative bacteria.	Schneider D Faure D Noirclerc-Savoye M Barriere AC Coursange E Blot M	2000 Sep	10.1006/plas.2000.1483 [doi] S0147-619X(00)91483-5 [pii]
Genetic footprinting with mariner-based transposition in Pseudomonas aeruginosa.	Wong SM Mekalanos JJ	2000 Aug 29	97/18/10191 [pii]
Spectrum and transferability of beta-lactam resistance in hospital strains of Enterobacter isolated in Bratislava and Innsbruck.	Bujdakova H Klimakova J Allerberger F Moravcikova M Bagova M Hanzen J Michalkova-Papajova D Dierich MP Kettner M	2000 Sep	S0924857900001953 [pii]
Interspecies recombination and mismatch repair. Generation of mosaic genes and genomes.	Matic I Taddei F Radman M	2000	1-59259-068-3-149 [pii] 10.1385/1-59259-068-3:149 [doi]
Molecular characterization of FOX-4, a new AmpC-type plasmid-mediated beta-lactamase from an Escherichia coli strain isolated in Spain.	Bou G Oliver A Ojeda M Monzon C Martinez-Beltran J	2000 Sep	?
Altered exopolysaccharides of Bradyrhizobium japonicum mutants correlate with impaired soybean lectin binding, but not with effective nodule formation.	Karr DB Liang RT Reuhs BL Emerich DW	2000 Jul	10.1007/s004250000288 [pii] 10.1007/s004250000288 [doi]
Conjugation of protein to immunostimulatory DNA results in a rapid, long-lasting and potent induction of cell-mediated and humoral immunity.	Tighe H Takabayashi K Schwartz D Marsden R Beck L Corbeil J Richman DD Eiden JJ Jr Spiegelberg HL Raz E	2000 Jul	10.1002/1521-4141(200007)30:7<1939::AID-IMMU1939>3.0.CO;2-# [pii] 10.1002/1521-4141(200007)30:7<1939::AID-IMMU1939>3.0.CO;2-# [doi]
Identification of the mob genes of plasmid pSC101 and characterization of a hybrid pSC101-R1162 system for conjugal mobilization.	Meyer R	2000 Sep	?
Comparison of 2,4-dichlorophenoxyacetic acid degradation and plasmid transfer in soil resulting from bioaugmentation with two different pJP4 donors.	Newby DT Gentry TJ Pepper IL	2000 Aug	?
Optimization of green fluorescent protein expression vectors for in vitro and in vivo detection of Listeria monocytogenes.	Fortinea N Trieu-Cuot P Gaillot O Pellegrini E Berche P Gaillard JL	2000 Jun	S0923250800001583 [pii]
Chitin catabolism in the marine bacterium Vibrio furnissii. Identification and molecular cloning of a chitoporin.	Keyhani NO Li XB Roseman S	2000 Oct 20	10.1074/jbc.M001041200 [doi] M001041200 [pii]
sigma(BldN), an extracytoplasmic function RNA polymerase sigma factor required for aerial mycelium formation in Streptomyces coelicolor A3(2).	Bibb MJ Molle V Buttner MJ	2000 Aug	?
Recognition of oriT for DNA processing at termination of a round of conjugal transfer.	Becker EC Meyer RJ	2000 Jul 28	10.1006/jmbi.2000.3902 [doi] S0022-2836(00)93902-0 [pii]
Isolation and characterization of transposon-induced chlorate resistant mutants of the cyanobacterium Anabaena species PCC 7120.	Rai AK Tiwari SP	2000	?
Beta-lactamase patterns and betalactam/clavulanic acid resistance in Escherichia coli isolated from fecal samples from healthy volunteers.	Gulay Z Bicmen M Amyes SG Yulug N	2000 Jun	10.1179/joc.2000.12.3.208 [doi]
Crystal structure of the bacterial conjugation repressor finO.	Ghetu AF Gubbins MJ Frost LS Glover JN	2000 Jul	10.1038/76790 [doi]
Nucleotide sequence of a 7-kb fragment of pACM1 encoding an IncM DNA primase and other putative proteins associated with conjugation.	Preston KE Radomski CC Venezia RA	2000 Jul	10.1006/plas.2000.1472 [doi] S0147-619X(00)91472-0 [pii]
Deletions of mob and tra pJP4 transfer functions after mating of Ralstonia eutropha JMP134 (pJP4) with Escherichia coli harboring F'::Tn10.	Clement P Springael D Gonzalez B	2000 May	?
Structural basis of hematopoietic prostaglandin D synthase activity elucidated by site-directed mutagenesis.	Pinzar E Miyano M Kanaoka Y Urade Y Hayaishi O	2000 Oct 6	10.1074/jbc.M000750200 [doi] M000750200 [pii]
Mobilization of chimeric oriT plasmids by F and R100-1: role of relaxosome formation in defining plasmid specificity.	Fekete RA Frost LS	2000 Jul	?
Relationship between the Tsh autotransporter and pathogenicity of avian Escherichia coli and localization and analysis of the Tsh genetic region.	Dozois CM Dho-Moulin M Bree A Fairbrother JM Desautels C Curtiss R 3rd	2000 Jul	?
Molecular basis of extended-spectrum beta-lactamase production in nosocomial isolates of Klebsiella pneumoniae from Merida, Venezuela.	Araque M Nieves B Lauretti L Rossolini GM	2000 Jun	S0924857999001685 [pii]
Isolation and analysis of a circular form of the IncJ conjugative transposon-like elements, R391 and R997: implications for IncJ incompatibility.	Pembroke JT Murphy DB	2000 Jun 15	S0378-1097(00)00190-7 [pii]
Transposon stability and a role for conjugational transfer in adaptive mutability.	Godoy VG Fox MS	2000 Jun 20	10.1073/pnas.130186597 [doi] 130186597 [pii]
Design consideration and probes for fluorescence resonance energy transfer studies.	Sinev M Landsmann P Sineva E Ittah V Haas E	2000 May-Jun	bc990132l [pii]
Establishment of Salmonella strain expressing catalytically active human UDP-glucuronosyltransferase 1A1 (UGT1A1).	Fujita K Mogami A Hayashi A Kamataki T	2000 Apr 7	S002432050000521X [pii]
A major secreted elastase is essential for pathogenicity of Aeromonas hydrophila.	Cascon A Yugueros J Temprano A Sanchez M Hernanz C Luengo JM Naharro G	2000 Jun	?
Construction of lux bacteriophages and the determination of specific bacteria and their antibiotic sensitivities.	Ulitzur S Kuhn J	2000	?
Merit of mobilization technique in transfer of non-autotransferable R-plasmids.	Mahajan R Dhar Y John PC Sokhey J	1998 Dec	?
Initiation and termination of DNA transfer during conjugation of IncI1 plasmid R64: roles of two sets of inverted repeat sequences within oriT in termination of R64 transfer.	Furuya N Komano T	2000 Jun	?
Conjugation and transformation of Streptomyces species by tylosin resistance.	Fouces R Rodriguez M Mellado E Diez B Barredo JL	2000 May 15	S0378109700001658 [pii]
Directed transfer of large DNA fragments between Streptomyces species.	Hu Z Hopwood DA Khosla C	2000 May	?
[Detection of extended spectrum beta-lactamases producing Enterobacteriaceae in feces].	Komatsu M Aihara M Shimakawa K Yamanaka T Matsuo S	2000 Mar	?
Expression of bacillar glutamyl endopeptidase genes in Bacillus subtilis by a new mobilizable single-replicon vector pLF.	Shevelev AB Aleoshin VV Trachuk LA Granovsky AE Kogan YN Rumer LM Serkina AV Semenova EV Bushueva AM Livshits VA Kostrov SV Shcheglov AS Novikova SI Chestukhina GG	2000 May	10.1006/plas.1999.1455 [doi] S0147-619X(99)91455-5 [pii]
Enzymology of type IV macromolecule secretion systems: the conjugative transfer regions of plasmids RP4 and R388 and the cag pathogenicity island of Helicobacter pylori encode structurally and functionally related nucleoside triphosphate hydrolases.	Krause S Pansegrau W Lurz R de la Cruz F Lanka E	2000 May	?
Conjugative junctions in RP4-mediated mating of Escherichia coli.	Samuels AL Lanka E Davies JE	2000 May	?
A Nedd8 conjugation pathway is essential for proteolytic targeting of p27Kip1 by ubiquitination.	Podust VN Brownell JE Gladysheva TB Luo RS Wang C Coggins MB Pierce JW Lightcap ES Chau V	2000 Apr 25	10.1073/pnas.090465597 [doi] 090465597 [pii]
Transposon targeting determined by resolvase.	Kamali-Moghaddam M Sundstrom L	2000 May 1	S0378-1097(00)00115-4 [pii]
Magnetic field exposure stimulates transposition through the induction of DnaK/J synthesis.	Chow KC Tung WL	2000 Apr 21	10.1006/bbrc.2000.2496 [doi] S0006-291X(00)92496-3 [pii]
Actinomycin production persists in a strain of Streptomyces antibioticus lacking phenoxazinone synthase.	Jones GH	2000 May	?
A novel heparin/protamine-based pro-drug type delivery system for protease drugs.	Liang JF Song H Li YT Yang VC	2000 May	S0022-3549(16)30591-3 [pii] 10.1002/(SICI)1520-6017(200005)89:5<664::AID-JPS12>3.0.CO;2-9 [doi]
Effect of Mg(2+) ion in protein secretion by magnesium-resistant strains of Pseudomonas aeruginosa and Vibrio parahaemolyticus isolated from the coastal water of Haldia port.	Bhattacharya M Roy SS Biswas D Kumar R	2000 Apr 15	S0378-1097(00)00092-6 [pii]
RAD51 is required for propagation of the germinal nucleus in Tetrahymena thermophila.	Marsh TC Cole ES Stuart KR Campbell C Romero DP	2000 Apr	?
